Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Next Generation Recyclingmaschinen GmbH",Josef Hochreiter,None,None,None,,1996,"D-12-08, Blok D, PJ 8, No. 23, Jalan Barat, Seksyen 8


",46050,Petaling Jaya,Selangor,Malaysia,603-7958 8795,603-7958 7795,"
raimon.wong@ngr-asia.com;doniela@wagner@ngr.at;josef.hochreiter@ngr.at
,",None,,,,,,,
"
NT Bimetallic Technology Sdn Bhd(1098646-D)",CK Ng,None,None,None,None,"22, Jalan Menglembu Impiana 32, I Park Menglembu, Menglembu, Ipoh


",31450,Ipoh,Perak,Malaysia,605-2821 633,605-2826 833,"
ck@ntbimetallic.com;thomas@ntbimetallic.com
,","NT BIMETALLIC
",None,,,,,,,
"
Nagoya Plastic Industry Sdn Bhd(223631-W)",NE Lim,None,None,None,1991,"Lot 90, 1249, Jalan Aman 2, 
Kawasan Perusahaan Taman Makmur, 
Lunas
",9600,Kedah,Malaysia,604-484 8434/5/6,604-484 4617,"
vicki@nagoyaplastic.com,darrenlim@nagoyaplastic.com
,","
www.nagoyaplastic.com,","Electrical and Electronic Products and Parts, Computer Casing and Parts, Radio Parts, Audio Speakers and Parts, Cabinets and Parts, OEM Manufacturing (Injection Moulding), Automotive Parts, Medical Devices Parts and Aerospace Parts
,Children,Electrical and Electronics, Medical, OEM Manufacturing, Transportation",,,,,,,,
"
Natty Team Corporation (M) Sdn Bhd(671010-H)",Thomson Tan,None,None,None,2004,"15, Jalan Anggerik Mokara 31/59, 
Kota Kemuning, 
Shah Alam
",40460,Selangor,Malaysia,603-5122 7797,603-5121 7797,"
nattyteam@hotmail.com
,","Nattyteam
","HDPE Dual Colour Sheets, LMDPE Roto Mould Tube and Slides, Litter Bin, Water Bin
,Bathroom/Toilet,Children,Furniture",,,,,,,,
"
NCH Global Sdn Bhd",Ng Chin Hooi,None,None,None,2008,"1516, Tingkat 5, 
Kampung Selamat, 
Tasek Glugor
",13300,Pulau Pinang,Malaysia,604-573 7173/2845,604-5733712,"
kokheng3339@gmail.com
,","
www.casket-handle.com,","Casket Hardware, Coffin Hardware, Casket Accessories
,Furniture",,,,,,,,
"
NCIIndustries Sdn Bhd",Low Boon Kang,None,None,None,1971,"135, Jalan Johor, 
Batu 34, 
Pontian
",82000,Johor,Malaysia,607-687 1466/3340/7707,607-687 5218,"
nci_ind@yahoo.com
,","
www.nciind.com,","Blow Moulding, Injection Moulding, Stretch Blow Moulding , 
",,,,,,,,
"
Neptune Technology Sdn Bhd(367284-P)",Shia Kian Leong,None,None,None,1996,"Lot 7445, Jalan P4/1, Seksyen 4, 
Bandar Teknologi Kajang, 
Semenyih
",43500,Selangor,Malaysia,603-8723 4836/4339/9633,603-8723 4840,"
enquiry@neptunetechnology.com.my; felixshia@neptunetechology.com.my
,","
www.neptunetechnology.com.my,","Blow Moulding, Film Blowing/Film Extrusion, Injection Moulding , 
",,,,,,,,
"
New Plastics Industries Sdn Bhd(28453-K)",Kelvin Teoh,None,None,None,1976,"Lot 58, 11th Miles, 
Off Jalan Cheras
",43000,Kajang,Selangor,Malaysia,603-8736 5339/5882/4024,603-8736 5384 / 603- 8736 3317,"
info@newplastic.com.my; kelvin@newplastic.com.my
,","Film Blowing/Film Extrusion , Lamination
",,,,,,,,
"
Newvation Sdn Bhd(399862-A)",Hon Yeng Soon,None,None,None,None,None,None,None,"1190, Jalan Sri Putri 3/3, 
Taman Putri Kulai, 
Kulai
",81000,Johor,Malaysia,607-6632 007,607-6631 008,"
newvation@gmail.com
,","PE, PP
",None,None,None,None,,
"
Nextol Polymer Sdn Bhd",Ng Eik Hock,None,None,None,2006,"PT 4846, Kawasan Perusahaan Cendana, 
Sungai Petani
",8000,Kedah,Malaysia,604-425 9660,604-425 0660,"
ngeh@nextopolymer.com.my
,","Compounds 
",None,None,None,,,,,,
"
Niban Mould (M) Sdn Bhd(448146-W)",Goh Kim Chong,None,Goh Kim Chong,Managing Director,1997,"8, Lorong IKS Juru 9, 
Taman Industri Ringan Juru, 
Simpang Ampat
",14100,Pulau Pinang,Malaysia,604-508 3928,604-508 3929,"Injection Moulding , Casting
","Electrical and Electronic Products, Part and Accessories and Mould Making
,Electrical and Electronics","International Quality System Standard ISO 9001 : 2008
",,,,,,,,
"
Nichi-Soko Plastic & Packaging Industries Sdn Bhd(518567-K)",WS Lee,None,CS Ang,Director,,"24 & 26, Jalan Satria 1, 
JB Perdana Industrial Estate, 
Skudai
",81300,Johor,Malaysia,607-512 6608/6609,607-512 6610,"
joblee86@gmail.com
,",None,None,None,,,,,,,
"
Nissei Technology (M) Sdn Bhd(113572-D)",Mitsuru Matsukihira,None,Daniel CB Hee Sr,Manager - Sales,1987,"MK 1 - 2467, Lorong Perusahaan 8A, 
Prai Industrial Estate, 
Prai
",13600,Pulau Pinang,Malaysia,604-399 6311,604-399 6293,"Engineering Plastic Resin, Liquid Silicon Rubber
","Injection Moulding , Assembly
","Audio/ Video/Optical Mechanisms, Mould, Dies, Electrical and Electronic Moulded Parts, OEM Manufacturing, Plastics and Silicon Lens
,Electrical and Electronics, OEM Manufacturing",,,,,,,,
"
Nitco Plastic Industries Sdn Bhd(745874-V)",Teoh Boon Gik,None,Teoh Boon Gik/Teoh Chin Chiat,Managing Director,1986,"2 & 4,Lorong Murni 7, 
Sungai Dua, 
Butterworth
",13800,Pulau Pinang,Malaysia,604-356 2314/2313,604-356 1304,"Printed Shopping Bag, Plastic Packaging Bag
,Films and Bags",None,None,,,,,,,,
"
Norma Products Malaysia Sdn Bhd(235586-U)",Sivadas Pillai Director,None,Daniel Wong Yoke Fah,Head of Sales Malaysia,1992,"4 & 6, Persiaran Perusahaan Kledang Utara 1/3, 
Taman Perindustrian Chandan Raya, 
Menglembu, Ipoh
",31450,Perak,Malaysia,605-240 8488,605-282 4588,"ISO 9001 : 2008, SPAN, ISO 14001, ISO 18001
","ABS, PE, PP, ACETAL
","Injection Moulding
",,,,,,,,
"
Nova Ace Plastics (M) Sdn Bhd(283173-A)",Puah Chong Sin,None,Lynna Puah,Business Development Manager,1993,"15, Jalan Bukit 1, 
Kawasan MIEL,Seri Alam, 
Masai
",81750,Johor,Malaysia,607-388 2219,607-387 6001,"PVC, TPE, HDPE
","Extrusion, Co-Extrusion , Hot Stamping, Printing, Texturing
","PVC profile for Furniture, Gasket, Customise Profile
,Electrical and Electronics,Furniture, OEM Manufacturing",,,,,,,,
"
Nulogictec Industries Sdn Bhd(461114-D)",Ng Kok Weng,None,Nazdne Binti Mustapha,Admin Manager,1998,"Lot 6, 
Kawasan Perindustrian Bukit Kayu Hitam, 
Bukit Kayu Hitam
",6050,Kedah,Malaysia,604-922 8800/8801/8802,604-922 8803,"Pipe Extrusion
","Electrical Conduit, Pipe for Cold Water Supply, Industrial Use, Vent and Sewerage, Drainage, Communication
,Electrical and Electronics, Industrial and Construction","Langkawi, Singapore, Thailand
",,,,,,,,
"
NU-Plus Manufacturing Sdn Bhd(1109274-A)",Tee Sek Wei,None,Tee Sek Wei,Director,2015,"22, Jalan Masyhur 5, 
Taman Desa Cemerlang, 
Ulu Tiram
",81800,Johor,Malaysia,607-863 5022,607-863 5411,"Manufacture of Recycled Plastic Bags with Plastics, Resins and Goods
",None,None,,,,,,,,
"
Nylex (Malaysia) Bhd(9378-T)",Eric Chan,None,Loh Hin Leong,Business Manager,1970,"Lot 16, Persiaran Selangor, 
Seksyen 15, 
Shah Alam
",40200,Selangor,Malaysia,603-5519 1706,603-5510 0088,"ISO 9001 : 2008 and ISO/TS 16949 : 2009 both under Kiwa Cermet Italia
","PVC, PVC Suspension and Paste Resin, DOP, HDPE, HIPS and LLDPE, LMDPE
","Calendering, Sheet Extrusion , Rotational Moulding, Casting
",,,,,,,,
"
Ocean Land Plastic Products Sdn Bhd(42945-H)",James Kee,None,Jason Kee,Manager,1995,"Batu 2, Jalan Klang, 
Kuala Selangor
",45000,Selangor,Malaysia,603-3289 5492,603-3281 1597,"Film Blowing/Film Extrusion
","Agricultural Films, Food and Liquid Packaging, Heavy Duty Bags, Cling Film, Food Wrap, Shrink Film, Garbage Bags, Agricultural,Films and Bags","Singapore, Africa, Thailand, Philippines
",,,,,,,,
"
Ocean Roto Moulding Sdn Bhd(717767-D)",Chan Wan Fong,None,Eng Yee Ling,Admin Assistant Manager,2005,"Lot 1716, 
Jalan Rukun
",45620,IJOK,Selangor,Malaysia,603-3279 3118,"OCEAN
","LDPE
","Rotational Moulding
",,,,,,,,
"
One Derfu Recycle Sdn Bhd(682059-K)",Chim Weng Yew,None,Yip Weng Wah,Director,2014,"PT 38820, Plot 150, 
Hala Perusahaan Menglembu 9, 
Ipoh
",31450,Perak,Malaysia,012-510 8860,"
wenguchim@gmail.com
,",None,None,None,,,,,,,,
"
OPC Resources Sdn Bhd(1085541-V)",Eric Ooi,None,Eric Ooi,Director,2014,"1, Lorong Industri Ringan, 
Permatang Tinggi 13, 
Taman Industri Ringan Permatang Tinggi
",14100,Simpang Empat,Pulau Pinang,Malaysia,6012-5859 421,"ABS, HIPS, PP, PE, PC, Nylon, PC/ABS, PS
","Injection Moulding, Extrusion Pelletising (Recycling)
","Reprocess Plastics Material such as HIPS and ABS Reprocess Material Recycled Resin - ABS, HIPS, PP , Injection Plastics Products
",,,,,,,,
"
OPP Industries Sdn Bhd",Wee Shin Hong,None,Wee Shin Hong,Director,"Lot PT 691, Kawasan Perindustrian, 
Pengkalan Chepa Fasa II, 
Kota Bharu
",16100,Kelantan,Malaysia,609-771 4488,609-7714480,"PE, PP
",None,None,None,,,,,,,,
"
Optimus Pack Technology Sdn Bhd(1193682-H)",Damronog Sukumpanpong,None,Kelvin Phang Li Yew,General Manager,2016,"10, Jalan IKS Juru Jaya, 
Taman IKS Juru Jaya
",14100,Simpang Ampat,Pulau Pinang,Malaysia,604-644 8318,"OPTIMUS
","ISO 9001, ISO 14001 and ISO 18001
","APET, PS, PP
",,,,,,,,
"
Oriental Nichinan Design Engineering Sdn Bhd(199620-H)",Albert HG Lim,None,Lee Meow Lim,Assistant General Manager,1990,"Lot 3, Jalan P/10, 
Kawasan Perusahaan Seksyen 10, 
Bandar Baru Bangi
",43650,Selangor,Malaysia,603-8926 3090,603-8926 3091,"Spray-painting, Silkscreen-painting, Pad-printing, Handmade Plastic Model, CNC Machining, Vacuum Casting
","Prototype, Inspection Jig, Car Modelling, Small Lot Production Soft Tooling, Product Design-Development
, Industrial and Construction",None,,,,,,,,
"
OC Merit Polymer Sdn Bhd(1238167 - T)",Danny Ong,None,Ivy Lee Siew Chee,Marketing Manager,2017,"No. 18, Jalan Korporat 1B/KKU9, Taman Perindustrian Meru

",42200,Klang,Selangor,Malaysia,603-3884 2266,"calcium Carbonate Alpha CC (Resin)
","Resin
","Supplier of Calcium Carbonate Alpha Resin
",,,,,,,,
"
Osaka Plastics (M) Sdn Bhd",Lor Leng Yow,None,Lor Leng Yow,Managing Director,1973,"1, Lorong Mak Mandin Satu, 
Mak Mandin Industrial Estate, 
Butterworth, Province Wellesley
",13400,Pulau Pinang,Malaysia,"604-323 6921/6520/3705, 331 9361",604-331 9223,"Injection Moulding
","Motorcycle Parts, Plastic Pails
, House Cleaning Utensils, Transportation",None,,,,,,,,
"
PAC Worldwide Asia Sdn Bhd(727692-X)",Chin Choon Fah,None,Chin Choon Fah,General Manager,2006,"Lot 5, Jalan Lada Hitam Satu 16/12A, 
Seksyen 16, 
Shah Alam
",40200,Selangor,Malaysia,603-5548 8668,603-5548 3668,"PE, Paper
","Film Blowing/Film Extrusion, Film Casting , 
","Flat and Bubble Mailers For Courier and E-Commerce
,Films and Bags",,,,,,,,
"
OCS Plas Corporation Sdn Bhd",Ooi Cheng Soon,None,Ooi Cheng Soon,Marketing Director,1996,"9, Lebuhraya Mesra, Taman Keenways

",14000,Bukit Mertajam,Pulau Pinang,Malaysia,604 - 539 2366,"OCS, Tractor Chow, Lori Sampah, Garbage King
","Products Distributor
","Brunei, Austria, Singapore
",,,,,,,,
"
Oleofine Organics Sdn Bhd",Lim Seng Tee,None,Managing Director,,1990,"No. 21, Jalan Serendah 26/41, Sekitar 26, Seksyen 26

",40460,Shah Alam,Selangor,Malaysia,603-5103 7363,603-5103 2133,"ISO 9001 : 2015, ISO 9001 : 2015 incorporating HACCP Principal
","Oleo Chemicals Additives
","Manufacturer: Oleochemical Derivates - Fatty Acied Esters, Fatty Amides/Specialty Chemicals, (Application in Diverse Fields - Food, Beverages, Textile, Leather, Paper, Paint, Ink, Coating, Cosmetic, Metal Processing, Lubricating Oil, Polymers Plastic Processing)
",,,,,,,
"
Omya Malaysia Sdn Bhd",Denys Collin Munang,None,Denys Collin Munang,General Manager,1990,"Lot 6, Jalan Teluk Pulai 27/88, Section 27

",40000,Shah Alam,Selangor,Malaysia,603-5514 7111,"Supplier - MIMCO Calcium Carbonate Fillers
",None,None,,,,,,,,
"
Petrochemicals (M) Sdn Bhd(12215-H)",Masakazu Tashiro,None,Jane Low,Marketing Manager,1972,"PLO 408, Off Jalan Pekeliling, Pasir Gudang Industrial Estate

",81700,Pasir Gudang,Johor,Malaysia,607-259 6362/8/9,"IDEMITSU PS
","UL, ISO 9001 : 20040, JET, ISO 14001 : 2004, OHSAS 18001 : 1999
","Compounds, Resins
",,,,,,,,
"
Petronas Chemicals Marketing Sdn Bhd(80474-V)",Akbar Md Thayoob,None,Eric Kuan Chin Wee/Shazali B Wosnin,,1982,"Level 15, Tower 1, PETRONAS Twin Towers, Kuala Lumpur City Centre


",50088,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2051 5000,603-2051 1501,"Machinery Supplier, Equipment Supplier, Resins
","Singapore, Indonesia, Philippines, Thailand, Vietnam, Sri Lanka, Pakistan, India, Bangladesh, China, Taiwan, Japan, Korea, Australia, New Zealand
","Raw Material Suppliers - HDPE, LLDPE, LDPE
",,,,,,,
"
Piovan Asia Pacific Ltd",Massimo Rampado,None,David Tan,Country Sales Manager,2010,"555 Rasa Tower I, Unit 1107-8, 11th Floor, Phaholyothin Road


",10900,Chatuchak,Bangkok,Thailand,+662 937 0250,"PIOVAN, AQUATECH, UNA-DYN, FDM, PENTA, ENERGYS AND PROGEMA
","CE mark and ISO 9001
","Suppliers
",,,,,,,,
"
Plasma Color (KL) Sdn Bhd",Teh Kim Loong,None,Ong Kian Tiong,Executive Director,2004,"31 & 33, Jalan Marikh U5/175, Seksyen U5, Bandar Pinggiran Subang

",40150,Shah Alam,Selangor,Malaysia,603-7846 2933,"Additives, Masterbatches, Pigments, Resins
","Indonesia, Singapore, Thailand, Sri Lanka, India, Philippines, Vietnam, Continent of Africa","Manufacturers and Supplier of Masterbatches (Colour, Black, White, Additives & Filler), Pigments & Plastic Resin
",,,,,,,,
"
Plus Solar System Sdn Bhd(1049973-X)",Ko Chuan Zhen,None,Poh Tyng Huei,Chief Operation Officer,2013,"L5-E-7A, Enterprise 4, Technology Park Malaysia, Lebuhraya Puchong-Sungai Besi, Bukit Jalil



",57000,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-8994 2890,"ISO 9001
","Supplier - Solar System
","Solar System
",,,,,,,,
"
Polymer Resources Sdn Bhd(164101-U)",Yap Hon Fah,None,Yap Choy Yen,Senior Manager,1987,"35, Jalan 29, Kawasan 16, Sungei Rasa Industrial Estate

",41300,Klang,Selangor,Malaysia,603-3342 7687,"MS ISO 9001 : 2000
","Compounds
","Indonesia, Brunei, Thailand
",,,,,,,,
"
Packaging Master Industries Sdn Bhd",Richard Lim,None,Linda Khoo,Executive Director,1992,"Plot 80, Tingkat Perusahaan 6, 
Kawasan Perusahaan Prai 4, 
Prai
",13600,Pulau Pinang,Malaysia,604-501 2225,604-501 2230,"Film Blowing/Film Extrusion
","Plain/Printed Bags and Sheets, Anti-static Bags, Shopping Bags, Garbage Bags, Bin Liners Bags, Fashion Bags, Garment Bags, Ice Bags, Cooking Oil Bags, Laundry Bags, T-shirt Bags, Heavy Duty Bags, Pillow Bags, Industrial Bags, Side-Sealed Bags, Pillow Case Plastic Envelop, Soft Loop Handle Bags, Draw Tape Bags, Punch-out Handle Bags, Self Adhesive Bags, Bakery Bread Bags, Zip Lock Bags, Freezer Bags, Japanese Tofu Bags and Other Custom-made based on Sample and Specification, Design and Manufacturer all Kinds of Corrugated Boxes/Cartons, Barricade Tape
,Films and Bags",None,,,,,,,,
"
Packerman Sdn Bhd(323655-A)",John Toh,None,Henry Lim,Sales Manager,1994,"11, Jalan T.U. 51A, 
Taman Tasik Utama, 
Ayer Keroh
",75450,Melaka,Malaysia,606-231 8888,606-231 8889,"Extrusion, Thermoforming
","Plastic Cups, Lids, Tray, Extrusion Plastic Sheet
","Singapore, Thailand, Japan, Indonesia
",,,,,,,,
"
Paimkos Resources Sdn Bhd",Tan Chai Chung,None,None,None,2003,"2267, Jalan Bukit Jawi, 
Kampung Paya Kemian, 
Seberang Perai Selatan
",14200,Pulau Pinang,Malaysia,604-593 9195,604-593 0439,"
epslmkod@yahoo.com.my
,","Recycling
",None,None,None,,,,,,
"
PolyPacific Polymers Sdn Bhd(281559 W)",Malcolm Fisher,None,Malcolm Fisher,General Manager,1993,"Lot 8936, Jalan Telok Gong, Pandamaran

",42000,Port Klang,Selangor,Malaysia,603-3134 2850,"OPTIC, CORTON, EPALEX, EXTRON, POLYCOMP, PROPAK, RETPOL,JAZZ,SEBLEX
","ISO 9001, ISO 14001, BS OHSAS 18001
","Compounds
",,,,,,,,
"
Paling Industries Sdn Bhd(11039-V)",Didier Carriere,None,Didier Carriere,Managing Director,1971,"Lot 10072, Persiaran Mahogani Utama 2, 
Sekyen 4, 
Bandar Utama Batang Kali
",44300,Batang Kali,Selangor,Malaysia,603-6063 6888,"PALING, TRITECH, HYDROTECH, ELEGANCE
","ISO 9001 : 2000, NSF
","ABS, PE, PP, PS, PVC
",,,,,,,,
"
Palohpack Industries(IP0416528-M)",Yong Sai Kang,None,Yong Sai Kang,Director,2015,"21, Jalan Industri Paloh 2, 
Kawasan Perindustrian Ringan Kg Paloh
",30000,Ipoh,Perak,Malaysia,016-520 3633,None,None,None,,,,,,,,
"
Polyplastics Asia Pacific Sdn Bhd(422033 W)",Yoshimitsu Shirai,None,Tee Eng Teck,Sales Department Manager,1997,"50-5-13A, 5th Floor Wisma UOA Damansara, 50 , Jalan Dungun, Damansara Heights


",50490,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2773 6600,"ISO 9002, ISO 14001
","Resins,
","Australia, China, Hong Kong, India, Indonesia
",,,,,,,,
"
Primaplas Pte Ltd(2014057627Z)",Tan Thuan Sia,None,Tan Thuan Sia,Managing Director,2014,"2 Venture Drive, #12-13 Vision Exchange

",608526,Singapore,Singapore,Singapore,65-6258 0538,None,None,None,,,,,,,,
"
PSEquipments Sdn Bhd(873207-U)",Joseph Looi Thang Leong,None,2009,"No.55, Jalan 5/154D, Taman Desa Cheras, Cheras


",56000,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603 - 9101 2871,603 - 9101 3412,"
sales@psesb.com.my
,","Others
","Flexible Packaging
",None,,,,,,,,
"
Pan Concept Technology Sdn Bhd",YBhg Dato' Edwin Tee,None,Tee Soon Teck,Director,1999,"Lot 9899, Batu 4, 
Jalan Kampung Jawa, 
Klang
",42450,Selangor,Malaysia,6035161 1808,603-5161 3809,"ABS, PE, PMMA, PS
","Thermoforming , Vacuum Forming
","Bath Tub, Luggage Tray, Garnish, Fender Liner Bodykit, Roof Box, Multipurpose Tray, Bodykit, Wheel Splashing Cover, Door Panel.
,Bathroom/Toilet, OEM Manufacturing, Transportation",,,,,,,,
"
Pan North Plastic Industries Sdn Bhd(58181-K)",Allan Koh,None,Justin Koh,General Manager,1980,"Plot 16, MuKim 13, LPBM 8, 
Bukit Minyak Industrial Park, 
Bukit Mertajam
",14100,Pulau Pinang,Malaysia,604-507 7111,604-507 8889,"ISO 9001 : 2015, ISO 13485 : 2004
","EVA, PET, PP, HDPE, OPP, CPP, CPE, LLDPE, SURLYN, PVA, LDPE
","Film Blowing/Film Extrusion , Printing, Die-Cutting
",,,,,,,,
"
Panagawa Sdn Bhd",Irene Chua,None,Kelvin Siew,Marketing Manager,1996,"PLO 527, Jalan Keluli 5, 
Pasir Gudang
",81700,Johor,Malaysia,607-251 6228,607-251 7799,"UKAS, YR2012
","PS
","Thermoforming 
",,,,,,,,
"
Panwrite Plastic Industries Sdn Bhd(549718-X)",Vincent Lum Yim Choy,None,Jessica Lum Wei Teng,Executive Director,1995,"PT11065, 11066 & 12701, Jalan Teluk Batu 36/4, 
AMJ Industrial Park, Kampung Jawa, 
Shah Alam
",40460,Selangor,Malaysia,603-5161 7920,603-5161 7918,"PE, PP
","Blow Moulding, Injection Moulding , Silkscreen-painting
Bottles (10cc to 5000cc)
",",Containers and Bottles, Medical",,,,,,,,
"
Parade Jasa Sdn Bhd(422645-X)",Wong Mun Foon,None,Kenneth Quah,Manager,1997,"20, Jalan Kota Puteri Satu, 
Taman Perindustrian Kota Puteri Satu
",81750,Masai,Johor,Mallaysia,607-386 4793,"Thermoforming , Plastic Bending
","Thermoforming Plastic
","Singapore, United States
",,,,,,,,
"
Pensia Plastic Industries Sdn Bhd(151380-K)",Chew Chuon Jin,None,Too Joo Kan,Operation Manager,1995,"1165, Lorong Perindustrian Bkt Minyak 16, 
Tmn Perindustrian Bkt Minyak, 
Simpang Ampat
",14100,Pulau Pinang,Malaysia,604-507 0321,604-507 3748,"Table Fan, Stand Fan, Blender, Wall Fan, Jug Kettle, Mixer
,Electrical and Electronics",None,None,,,,,,,,
"
Perceptive Profile Sdn Bhd(328758-P)",Cheah Choong Yuen,None,1994,"PT 19251, 
PRSN Batu Gajah Perdana 10, 
Taman Perindustrian Batu Gajah Perdana
",31550,Pusing,Perak,Malaysia,605-366 5439,605-366 5139,"
admin@perceptive.com.my
,","PVC, HDPE
","Injection Moulding, Extrusion
","Furniture and Contruction Profile, Wood Plastic Composite (WPC)
,Furniture",,,,,,,,
"
Peritronics Industry Sdn Bhd(365350-W)",Alan Lai Chien Kong,None,Alan Lai Chien Kong,Executive Director,1996,"218 (1st Floor), 
Kawasan Merah, 
Mantin
",71700,Negeri Sembilan,Malaysia,606-758 7565/7656,606-758 7265,"Precision Plastic Components for Computer Parts, Camera, Audio Visual, Car Parts and Safety Goggles
,Electrical and Electronics, Mechanical","Japan
",None,,,,,,,,
"
Permintex Sanko Technologies Sdn Bhd",Lam Weng Chan,None,Ainaa Badliyana Ahmad,Manager (HR),2001,"Lot 9414, 9415 and 9416, 
Jalan Jasmine 1, Seksyen BB10, 
Bukit Berunting, Rawang
",48300,Selangor,Malaysia,603-6028 4421,603-6028 2844,"ABS, PP
","Injection Moulding , Pad-printing, Ultrasonic Welding
","Automotive Parts
, OEM Manufacturing, Transportation",,,,,,,,
